,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
3732,11881435,JC497802,2019-11-04T02:56:00.000,105XX S MUSKEGON AVE,0610,BURGLARY,FORCIBLE ENTRY,OTHER,False,False,0431,004,10,51,05,1196813,1835516,2019,2019-11-11T15:58:10.000,41.703522815,-87.554918959,"{'latitude': '41.703522815', 'longitude': '-87.554918959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3733,11882313,JC498865,2019-11-04T21:00:00.000,016XX W 82ND ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0614,006,21,71,05,1166887,1850337,2019,2019-11-11T15:58:10.000,41.744883941,-87.664079475,"{'latitude': '41.744883941', 'longitude': '-87.664079475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3734,11881932,JC498425,2019-11-04T15:30:00.000,015XX W 81ST ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0614,006,21,71,05,1167543,1851018,2019,2019-11-11T15:58:10.000,41.746738676,-87.661656314,"{'latitude': '41.746738676', 'longitude': '-87.661656314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3735,11882590,JC499233,2019-11-04T14:00:00.000,010XX W ADDISON ST,0620,BURGLARY,UNLAWFUL ENTRY,BAR OR TAVERN,False,False,1924,019,44,6,05,1168180,1924067,2019,2019-11-11T15:58:10.000,41.9471781,-87.657214823,"{'latitude': '41.9471781', 'longitude': '-87.657214823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3736,11881368,JC497736,2019-11-04T05:28:00.000,052XX S CAMPBELL AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,0923,009,14,63,05,1160592,1869827,2019,2019-11-11T15:58:10.000,41.798499321,-87.68660838,"{'latitude': '41.798499321', 'longitude': '-87.68660838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3737,11882199,JC498569,2019-11-04T02:40:00.000,005XX E 33RD PL,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0211,002,4,35,05,1180708,1882808,2019,2019-11-11T15:58:10.000,41.83368122,-87.612439993,"{'latitude': '41.83368122', 'longitude': '-87.612439993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3738,11882741,JC499387,2019-11-04T15:00:00.000,117XX S WALLACE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,0524,005,34,53,05,1174414,1827124,2019,2019-11-11T15:58:10.000,41.681020198,-87.637187184,"{'latitude': '41.681020198', 'longitude': '-87.637187184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3739,11885367,JC502268,2019-11-04T13:00:00.000,049XX W DIVISION ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,1531,015,37,25,05,1143286,1907537,2019,2019-11-11T15:58:10.000,41.902320502,-87.749133059,"{'latitude': '41.902320502', 'longitude': '-87.749133059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3740,11883053,JC499787,2019-11-04T17:00:00.000,081XX S MAY ST,0610,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",False,False,0613,006,21,71,05,1170069,1850820,2019,2019-11-11T15:58:10.000,41.746140855,-87.652406156,"{'latitude': '41.746140855', 'longitude': '-87.652406156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3741,11881333,JC497699,2019-11-04T02:59:00.000,003XX E 79TH ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,CONVENIENCE STORE,False,False,0623,006,6,69,05,1180022,1852708,2019,2019-11-11T15:58:10.000,41.75109982,-87.615878739,"{'latitude': '41.75109982', 'longitude': '-87.615878739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
3742,11881799,JC498135,2019-11-04T12:21:00.000,052XX W WASHINGTON BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1522,015,28,25,05,1141581,1900253,2019,2019-11-11T15:58:10.000,41.882364022,-87.755576028,"{'latitude': '41.882364022', 'longitude': '-87.755576028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
